CreatedDate,NumTests,NumSum
7/13/2020,31,31
7/14/2020,70,101
7/15/2020,102,203
7/16/2020,108,311
7/17/2020,94,405
7/19/2020,4,409
7/20/2020,114,523
7/21/2020,140,663
7/22/2020,120,783
7/23/2020,116,899
7/24/2020,117,1016
7/26/2020,1,1017
7/27/2020,127,1144
7/28/2020,88,1232
7/29/2020,102,1334
7/30/2020,86,1420
7/31/2020,85,1505
8/1/2020,12,1517
8/2/2020,43,1560
8/3/2020,32,1592
8/4/2020,90,1682
8/5/2020,136,1818
8/6/2020,149,1967
8/7/2020,159,2126
8/8/2020,53,2179
8/9/2020,36,2215
8/10/2020,21,2236
